"CHART","CU_NAME","STREET","CITY","STATE","ZIP_CODE","CEO-MGR","PHONE","Assets","Loans","NetWorth","ShareGrowth","LoanGrowth","LnsAssets","InvAssets","Members","FullTime"
"13329","BALDWIN COUNTY","PO Box 1149","Bay Minette","AL","36507","TOWNSEND, GARY","2519370334",18209176.00,10204052.00,12.27,3.76,-1.73,56.04,37.23,3451.00,8.00
"64603","BIRMINGHAM POLICE","708 17th Street North","Birmingham","AL","35203","NOBLITT, LAVELLE","2055834632",5404114.00,4402213.00,10.89,32.58,40.50,81.46,14.93,1699.00,3.00
"64644","BLUE FLAME","PO Box 2248","Mobile","AL","36652 - 2248","KELLER, JEANETTE","2514504804",7889088.00,3418851.00,14.48,-5.74,2.36,43.34,53.46,907.00,3.00
"60593","BRASSIES","PO Box 1229","Anniston","AL","36202","DRACO SWEAT, HAKARI","2568317180",8233954.00,4120417.00,12.43,-4.73,-14.45,50.04,48.52,749.00,2.00
"12790","BREWTON MILL","P.O. Box 907","Brewton","AL","36427","WILLIAMSON, LINDA","2518673162",17929700.00,12641056.00,8.27,-11.98,-9.34,70.50,21.39,2018.00,8.00
"63614","CHAMPION COMMUNITY","16601 County Road 150","Courtland","AL","35618","CARPENTER, REGZEY","2566376511",50333826.00,29598101.00,11.42,13.48,2.87,58.80,39.55,3130.00,10.00
"24221","CHATTAHOOCHEE","P.O. BOX 8","VALLEY","AL","36854","HAND, STACEY","8003564501",14066373.00,8071052.00,12.98,.05,-4.79,57.38,36.30,3785.00,8.00
"61055","CHEM FAMILY","702 Clydesdale Av","Anniston","AL","36201","NORTON, DAVID","2562370651",6331419.00,1750165.00,15.71,6.91,-.61,27.64,71.80,323.00,.00
"61277","CHEMCO","1638 INDUSTRIAL ROAD","MC INTOSH","AL","36553","PARNELL, LYNN","2519443297",4625936.00,2680521.00,16.73,.70,1.94,57.95,41.69,418.00,1.00
"62062","CITY","2302 JACK WARNER PARKWAY","TUSCALOOSA","AL","35401","MCCOOL, CONNIE","2053494209",14420131.00,8388440.00,25.66,11.42,1.14,58.17,37.35,2726.00,8.00
"64528","CITY OF B'HAM GENERAL EMPLOYEES","708 17th St N","Birmingham","AL","35203 - 2020","LOGGINS, DEBORAH","2055834654",5746952.00,4646315.00,12.52,6.64,7.13,80.85,18.53,1797.00,4.00
"13018","CLARKE EDUCATORS","PO Box 367","Grove Hill","AL","36451","NETTLES, LATASHA","2512753007",2722101.00,1677164.00,29.21,12.76,-10.40,61.61,38.37,729.00,3.00
"6774","COOSA PINES","17591 Plant Road","Childersburg","AL","35044","CARDEN, DONALD","2563785559",210140525.00,91566016.00,11.05,8.08,-5.28,43.57,50.51,20608.00,44.00
"65991","CORPORATE AMERICA CREDIT UNION","4365 CRESCENT ROAD","IRONDALE","AL","35210","BONDS, THOMAS","8002926242",3332130674.00,28218094.00,4.33,-11.19,18093.04,.85,98.10,533.00,63.00
"9554","COUNCILL","PO Box 267","Normal","AL","35762","GILMORE, RUFUS","2563725379",2948861.00,1102429.00,16.30,6.68,14.99,37.38,61.57,944.00,2.00
"11950","COVINGTON SCHOOLS","PO Box 442","Andalusia","AL","36420","COUNTS, ELAINE","3342222169",16639936.00,9038551.00,30.64,-1.81,-7.15,54.32,43.68,1856.00,3.00
"63944","CRAIG","1102 Singleton Drive","Selma","AL","36703","MCILWAIN, PAMELA","3348757827",10852078.00,5843679.00,21.07,8.08,-7.10,53.85,40.61,5137.00,7.00
"63940","DCH","1008 Veterans Memorial Pkwy","Tuscaloosa","AL","35404","PRITCHETT, ANGELIC","2057597317",32454350.00,16805964.00,10.61,-2.16,-1.00,51.78,37.57,5998.00,15.00
"23893","DEGUSSA EMPLOYEES","PO BOX 868","THEODORE","AL","36590","CROCKER, PHYLLIS","2514433598",5685128.00,1812768.00,14.30,7.40,-1.78,31.89,65.42,871.00,3.00
"17311","DEMOPOLIS","PO Box 727","Demopolis","AL","36732","CROCKETT, QUESHA","3342894686",542102.00,494138.00,6.29,13.33,37.13,91.15,1.73,672.00,1.00
"62798","DIXIE CRAFT EMPLOYEES","P O Box 177","Goodwater","AL","35072","HARRELSON, DINAH","2568396354",2722676.00,1007147.00,14.28,-.74,3.90,36.99,61.19,441.00,1.00
"12383","EAST ALABAMA COMMUNITY","P.O. BOX 2588","OPELIKA","AL","36803","STURGES, KRISTIN","3343642850",10185073.00,6362959.00,20.08,10.67,18.57,62.47,23.88,4198.00,8.00
"8919","EBSCO","P O Box 1943","Birmingham","AL","35201","RUSSELL, C WAYNE","2059911106",13336267.00,9259942.00,8.94,3.95,14.38,69.43,27.94,1750.00,5.00
"65464","ECO","PO Box 2385","Birmingham","AL","35201","HAND, JOEY","2052263900",113561770.00,50363689.00,11.14,9.53,-7.18,44.35,48.51,13591.00,38.00
"12478","ELECTRICAL WORKERS NO 558","P.O. BOX 806","SHEFFIELD","AL","35660 - 0806","RHODES, DONALD","2563836551",20206687.00,11612355.00,20.17,2.34,6.28,57.47,38.65,2446.00,3.00
"64631","EMPLOYEES SAVINGS","p o box 11870","montgomery","AL","36111","RHODES, MICHELLE RHODES","3342882460",2536680.00,683038.00,13.10,.15,-2.68,26.93,71.34,203.00,.00
"64232","ENERGEN","47 W Oxmoor Rd","Birmingham","AL","35209","MILLER, RICK","2059441192",20116549.00,16598206.00,10.98,13.77,32.68,82.51,12.13,2463.00,6.00
"24665","FAMILY SAVINGS","711 East Meighan Blvd","Gadsden","AL","35903","HILL, MONTE","2565439530",281035068.00,187802074.00,11.06,6.84,3.79,66.83,25.28,58649.00,132.00
"60605","FAMILY SECURITY","2204 Family Security Pl SW","Decatur","AL","35603","NOBBLEY, SHANE","2563402000",462036582.00,249130266.00,12.27,7.25,-7.71,53.92,39.65,67296.00,157.00
"62599","FEDERAL EMPLOYEES","1509 4th Avenue Souith","Birmingham","AL","35233","RILEY, JOE","2053224026",12354438.00,6386768.00,24.44,20.89,-.14,51.70,46.79,1488.00,4.00
"14026","FEDMONT","330 Eastdale Cir","Montgomery","AL","36117","GARNER, CANDACE","3342705532",11590118.00,6225919.00,13.82,-.75,-11.27,53.72,40.44,1850.00,5.00
"64594","FIREMAN'S","1808 7th Avenue North","Birmingham","AL","35203","MANZELLA, TONY","2052526083",3914035.00,3074585.00,20.82,.48,2.91,78.55,21.61,838.00,1.00
"60934","FIRST EDUCATORS","1810 Merchants Drive","Hoover","AL","35244","NIX, STEVE","2055818800",117262250.00,66555430.00,13.98,6.47,-9.38,56.76,36.74,16451.00,44.00
"24791","FIRST KINGDOM COMMUNITY","PO Box 2606","Selma","AL","36702","JOHNSON, KARLYNN","3348750736",154220.00,8176.00,7.44,-33.61,-69.93,5.30,93.83,109.00,.00
"68302","FIVE STAR","PO Box 2028","Dothan","AL","36302 - 2028","STEENSMA, ROBERT","3347937714",183531146.00,96333899.00,10.30,4.09,1.01,52.49,35.01,16137.00,59.00
"13167","FLORENCE","1505 N Pine Street, P.O. Box 2817","Florence","AL","35630","FOSTER, MAXIE","2567674700",45884185.00,17220625.00,11.78,7.90,-5.51,37.53,59.06,4393.00,13.00
"22131","FOGCE","PO Box 543","Eutaw","AL","35462","CARPENTER, WILLIE","2053729025",1191472.00,336025.00,22.60,-6.97,-10.07,28.20,71.11,570.00,2.00
"61800","FORT MCCLELLAN","1731 NOBLE STREET","ANNISTON","AL","36201","SASSER, CURT","2562372113",167030520.00,72695636.00,13.58,14.98,2.46,43.52,49.97,20572.00,41.00
"16479","FOUR SEASONS","2915 Pepperell Pkwy","Opelika","AL","36801 - 6127","LIPHAM, RONNIE","3347454711",45172934.00,31120094.00,9.11,-3.88,-2.07,68.89,12.28,8825.00,29.00
"68374","GUARDIAN","P.O. Box 3199","Montgomery","AL","36109 - 0199","HARRELL, HEATH","3342449999",212083152.00,107971959.00,13.09,2.30,-2.03,50.91,44.17,30310.00,73.00
"7520","GULF COAST","1001 Springhill Ave","Mobile","AL","36604","MIXON, BETTY","2514387464",29152430.00,9914548.00,14.69,10.49,-11.80,34.01,57.76,5255.00,13.00
"62664","HEALTH","1400 6TH Ave S","Birmingham","AL","35233","SHIVERS, KENNETH","2059301213",20768336.00,8450513.00,20.23,-.71,-1.46,40.69,57.90,1831.00,6.00
"68586","HERITAGE SOUTH","P.O. Box 128","Sylacauga","AL","35150","HARRELL, DAPHNE","2562454776",78457556.00,42654751.00,13.66,9.55,4.86,54.37,34.80,9651.00,34.00
"16556","IAM COMMUNITY","PO BOX 311990","ENTERPRISE","AL","36331","DYKES, JAMES","3343479000",37441631.00,28148561.00,13.61,12.63,10.28,75.18,18.73,5945.00,14.00
"63834","JEFFERSON CREDIT UNION","716 Richard Arrington Jr Blvd N, B-","Birmingham","AL","35206","FAULKNER, CHARLES","2053255683",65454050.00,29085103.00,9.96,3.12,-8.51,44.44,49.05,8484.00,26.00
"62356","L&N EMPLOYEES","4101 Vanderbilt Rd","Birmingham","AL","35217","DAVIDSON, JAN","2058412544",10734681.00,7620074.00,17.41,6.61,-.52,70.99,24.16,1343.00,4.00
"61944","LAUDERDALE COUNTY TEACHERS","103 Mangum St","Florence","AL","35630","FULKS, SHERRY","2567662936",29413115.00,11411271.00,8.99,10.52,-7.50,38.80,58.50,2521.00,6.00
"24421","LEGACY COMMUNITY","100 CORPORATE RIDGE STE 200","BIRMINGHAM","AL","35242","MCGEE, JOE","2059339933",387614382.00,131376537.00,11.67,11.17,-10.96,33.89,57.02,42358.00,107.00
"63057","LISTERHILL EMPLOYEE'S","P.O. Box 566","Sheffield","AL","35660","GREEN, BRAD","2563839204",540798525.00,364834088.00,10.08,8.10,5.51,67.46,25.01,69855.00,213.00
"12837","MARVEL CITY","PO Box 713","Bessemer","AL","35021","BIGHAM, GINA","2054260578",7658831.00,2521356.00,12.50,-1.83,-10.41,32.92,63.35,1026.00,3.00
"68575","MAX","P.O. BOX 244040","MONTGOMERY","AL","36124 - 4040","MCCLELLAN, H. GREG","3342602600",913542767.00,481434544.00,14.31,5.90,2.06,52.70,39.58,109921.00,282.00
"15101","MCINTOSH CHEMICAL","P O Box 198","Mc Intosh","AL","36553","DEARMAN, KATRINA","2519448034",17952805.00,6417513.00,19.60,4.24,-8.04,35.75,57.30,1999.00,4.00
"18192","MEAD COATED BOARD","P. O. Box 940","Phenix City","AL","36868","SHAW, MARY","3348555232",44857942.00,9336982.00,13.21,-1.13,-2.34,20.81,78.51,1574.00,2.00
"64162","MILESTONE","P.O. Box 260","Fultondale","AL","35068","ZUCKERMAN, THEDA","2058490497",20580669.00,11058353.00,16.23,-4.06,-11.09,53.73,42.77,2928.00,6.00
"61286","MOBILE EDUCATORS","3150 AIRPORT BLVD","MOBILE","AL","36606","WILLIAMS, TINA","2514734712",69402330.00,13579113.00,9.64,1.83,-24.83,19.57,73.16,13617.00,26.00
"61339","MOBILE GOVERNMENT EMP.","P. O. Box 2288","Mobile","AL","36628","POND, THOMAS","2516944100",22178467.00,7298977.00,13.13,5.29,-4.27,32.91,66.41,1152.00,4.00
"62471","MOBILE POSTAL","P. O. Box 160776","Mobile","AL","36616 - 2776","HARRISON, JOYCE","2513421472",10811555.00,6445422.00,9.63,-17.75,.33,59.62,39.16,1530.00,3.00
"12709","MONROE EDUCATION EMPLOYEES","456 South Alabama Avenue","Monroeville","AL","36460","HOUSE II, JOE","2517433264",4312916.00,2592128.00,5.20,24.61,11.35,60.10,35.51,1302.00,4.00
"5345","MONTGOMERY VA","345 PERRY HILL ROAD","MONTGOMERY","AL","36109","BOLTON, WENDY","3342727790",7736015.00,4931054.00,13.30,7.28,-10.21,63.74,27.49,1748.00,4.00
"60501","MUTUAL SAVINGS","PO Box 362045","Birmingham","AL","35236","KEY, DOUG","2056821100",161285877.00,100238745.00,7.17,-8.91,-17.71,62.15,28.16,37143.00,76.00
"11277","N.E.A.R.M.C. EMPLOYEES","P.O. BOX 2263","ANNISTON","AL","36202","BALLENGER, LOUISE","2562355377",3250448.00,2667544.00,9.98,5.85,-3.83,82.07,17.35,941.00,1.00
"62661","NAHEOLA","P.O. Box 102","Pennington","AL","36916","JOHNSON, MARK","2056542370",72710901.00,37236738.00,22.55,1.18,-5.63,51.21,43.58,6109.00,20.00
"60799","NEW HORIZONS","P. O. Box 1785","Mobile","AL","36633","DOBILAS, ROBERT","2513163240",187863325.00,99896869.00,8.72,4.17,-10.08,53.18,41.26,32699.00,62.00
"16858","NEW PILGRIM","641 Goldwire Way SW","Birmingham","AL","35211","CUNNINGHAM, DAVID","2053263852",1532217.00,340430.00,10.93,18.53,-14.23,22.22,76.86,853.00,1.00
"60500","NORTH ALABAMA EDUCATORS","PO Box 128","Huntsville","AL","35804","OLMSTED, GREG","2565342423",79372691.00,42049077.00,6.96,7.16,-2.06,52.98,40.83,11580.00,33.00
"22070","NORTH ALABAMA PAPERMAKERS","PO Box 508","Stevenson","AL","35772","MCCRAW, GAYLE","2564373232",1895987.00,963596.00,25.85,2.07,-2.64,50.82,48.89,411.00,1.00
"11056","NORTHEAST ALABAMA POSTAL","P O Box 1927","anniston","AL","36202","SIMMONS, MARGARET","2562374259",14409925.00,10085774.00,13.17,-2.11,-2.21,69.99,28.51,1180.00,3.00
"24583","NRS COMMUNITY DEVELOPMENT","PO BOX 130520","BIRMINGHAM","AL","35213","ROGERS, EUNICE","2058333556",982279.00,675419.00,5.41,-4.41,-13.72,68.76,30.23,359.00,1.00
"15752","NUCOR EMPLOYEES","PO BOX 680169","FORT PAYNE","AL","35968","KOCH, JANEE","2569975058",3484076.00,879805.00,19.85,-5.71,-5.37,25.25,74.64,450.00,1.00
"64593","O'NEAL","P O BOX 2623","Birmingham","AL","35202","YORK, DEBRA","2055998010",2659971.00,1715362.00,19.03,5.99,.31,64.49,35.80,1074.00,1.00
"62486","OPP-MICOLAS","P O DRAWER 70","OPP","AL","36467","FRAZIER, KYLER","3344936434",12969079.00,4653341.00,27.03,7.46,4.77,35.88,61.67,2263.00,4.00
"1610","PEOPLE'S FIRST","P.O. BOX 170280","TARRANT","AL","35217","MYRICK, ELIZABETH","2058411818",5744886.00,3720968.00,13.16,.97,-8.52,64.77,31.51,1200.00,4.00
"13852","PHENIX PRIDE","1810 Opelika Road","Phenix City","AL","36867","NICHOLS, KIMBERLY","3342913000",5026313.00,3526691.00,11.07,-.87,4.81,70.16,14.82,1381.00,5.00
"63634","PIKE TEACHERS","501 University AVe","Troy","AL","36082","TOLBERT, MARTHA","3346703630",7900529.00,1968947.00,14.75,3.51,-4.03,24.92,74.04,2229.00,2.00
"64774","POSTAL EMPLOYEES","PO BOX 132","HUNTSVILLE","AL","35804","BERRYHILL, BUDDY","2568812400",3230401.00,2004676.00,12.33,2.14,-2.79,62.06,37.86,384.00,.00
"11422","PROGRESSIVE","1065 Spring Hill Ave","Mobile","AL","36604","CROSBY, THALIA","2513382092",6191875.00,3517016.00,26.50,5.26,-7.77,56.80,41.78,894.00,4.00
"11176","RAILROAD","P O Box 100185","Irondale","AL","35210","HAZELWOOD, SHARON","2059560678",107396975.00,14512420.00,11.85,-.59,2.09,13.51,84.75,6809.00,8.00
"61474","RAILWAY EMPLOYEES","P.O. Box 3776","Muscle Shoals","AL","35662","MATTHEWS, MARY LEIGH","2563837940",16873441.00,8732934.00,23.87,.40,-1.28,51.76,43.47,1752.00,3.00
"7544","REDSTONE","220 Wynn Dr","Huntsville","AL","35893","NEWBERRY, JOSEPH","2568376110",3188433937.00,1233340802.00,10.28,9.77,-.65,38.68,55.54,342640.00,764.00
"62843","RIVERDALE","198 Highland Ave","Selma","AL","36701","WALKER, LINDA","3348729096",48821358.00,31573440.00,11.88,11.75,6.44,64.67,28.45,7345.00,12.00
"9662","ROCKET CITY","2401 TRIANA BOULEVARD","HUNTSVILLE","AL","35805","CANTRELL, MARQUETTA  (EXT. 14)","2565330541",38996681.00,20929626.00,15.60,4.35,-.23,53.67,42.23,4540.00,10.00
"11123","S R I EMPLOYEES","2000 Ninth Avenue South","Birmingham","AL","35205","MCMURREY, PAT","2055812312",6908910.00,434240.00,21.01,-7.82,-29.02,6.29,92.73,409.00,1.00
"68543","SECURE FIRST CREDIT UNION","3000 Winewood Road, P.O. Box 170070","Birmingham","AL","35217","SULLIVAN, JORDAN","2055202115",46722654.00,19256576.00,15.19,2.75,-9.67,41.21,54.35,10667.00,19.00
"64725","SHORELINE","901 Springhill Ave","Mobile","AL","36604","REEVES, STACIE","2514417400",7816266.00,5376144.00,13.21,-3.69,25.08,68.78,25.72,2673.00,4.00
"15938","SIXTH AVENUE BAPTIST","1101 MARTIN LUTHER KING JR. DR. S.W","BIRMINGHAM","AL","35211","DAYS, MICHELE","2053226654",4380612.00,3183189.00,6.71,-11.40,-5.93,72.67,27.17,989.00,3.00
"61391","SOCIAL SECURITY","PO Box 937","Birmingham","AL","35201","SIMMONS, CAROLYN","2053237028",27015364.00,12730107.00,21.07,1.97,3.90,47.12,50.65,3634.00,8.00
"12137","ST. JOHNS AME BIRMINGHAM","708 15th St. N.","Birmingham","AL","35203","WALKER, CHRIS","2052513764",45423.00,17406.00,14.66,1.55,-8.67,38.32,62.50,204.00,.00
"5445","STEVENSON","PO Box 587","Stevenson","AL","35772","DAWSON, TAREN","2564372181",16022479.00,12701354.00,11.02,15.96,11.61,79.27,14.35,1834.00,8.00
"5241","SYCAMORE","PO Box 423","Sycamore","AL","35149","MCGRADY, MARSHALL","2562455887",10814356.00,6421362.00,18.28,38.35,32.13,59.38,35.82,1078.00,4.00
"21794","THE INFIRMARY","PO BOX 2183","MOBILE","AL","36607","MCKINLEY, MATTHEW","2514355900",14001387.00,3832589.00,18.32,12.96,-13.43,27.37,65.43,4764.00,13.00
"14314","TRI-RIVERS","400 Arba Street","Montgomery","AL","36104","DILL, JAMES","3348347483",18453186.00,7640048.00,7.98,-11.71,-29.38,41.40,50.13,5058.00,16.00
"60485","TUSCALOOSA","PO Box 1518","Tuscaloosa","AL","35403","COBB, TOMMY","2053456043",53501827.00,39222204.00,9.64,9.66,6.49,73.31,20.33,5761.00,15.00
"64464","TUSCALOOSA COUNTY","2605 7th Street","Tuscaloosa","AL","35401","MOZINGO, PATSY","2053445100",8618691.00,6333735.00,8.31,-10.26,-15.83,73.49,19.17,1651.00,5.00
"60942","TUSCALOOSA TEACHERS","P.O. Box 1756","Tuscaloosa","AL","35403","SASSAMAN, GREGORY","2057591505",106629239.00,37139703.00,13.15,16.96,2.18,34.83,61.16,8463.00,22.00
"7532","TUSCALOOSA V A","3518 Loop Road East","Tuscaloosa","AL","35404","POLLAN, CHRIS","2055567819",45599174.00,25793327.00,7.67,-12.26,-24.71,56.57,38.32,5562.00,16.00
"13054","TUSCUMBIA","105 E 5th St","Tuscumbia","AL","35674","SIMMONS, SUSAN","2563833331",1441169.00,689599.00,33.82,-11.94,-17.39,47.85,52.29,287.00,1.00
"2791","TUSKEGEE","304 W. MONTGOMERY RD.","TUSKEGEE","AL","36083","MINNIFIELD, RUSO","3347273180",5007862.00,3046912.00,4.41,-13.70,-13.69,60.84,33.30,2240.00,5.00
"68559","TVA","PO Box 1010","Muscle Shoals","AL","35662 - 1010","BURKETT, KIMBALL","2563863000",268398695.00,99984413.00,11.86,12.89,14.01,37.25,59.39,17474.00,55.00
"6311","TVH","P.O. Box 2151","Tuskegee","AL","36083","KNIGHT, SHERRIE","3347274176",4425207.00,2082776.00,25.46,16.48,-7.91,47.07,53.13,732.00,3.00
"1601","U S PIPE BESSEMER EMPLOYEES","2115 N 19th Street","Bessemer","AL","35020","LAMBERT, TERESA","2054285581",3062191.00,951234.00,28.48,-.25,-7.84,31.06,68.99,586.00,2.00
"13659","UNIVERSITY OF SOUTH ALABAMA","103 Hillcrest Road","Mobile","AL","36608","MCKEE, FELICIA","2517060255",30244312.00,8620603.00,11.16,4.46,-18.43,28.50,67.08,8987.00,11.00
"60930","VALLEY","P.O. BOX 388","TUSCUMBIA","AL","35674","SPARKS, HILLARD","2563814800",60478504.00,29849712.00,15.99,2.25,-2.90,49.36,43.34,6426.00,19.00
"13228","WIREGRASS","P.O. Box 216","Dothan","AL","36302","SOUDERS, TANGELA","3347933667",39325562.00,30599343.00,9.03,7.78,19.09,77.81,16.89,5751.00,19.00
"61150","WOLVERINE","1616 Church St SE","Decatur","AL","35601","THOMPSON, CHRISTI","2563555010",22804453.00,13727113.00,7.95,5.36,-9.34,60.19,34.94,4743.00,12.00
"6237","ALASKA DIST ENGINEERS","P.O. Box 6289","Elmendorf AFB","AK","99506","EBBEN, JULIE","9077535118",12778292.00,4499526.00,6.33,-9.58,-3.46,35.21,62.98,1035.00,3.00
"5913","ALASKA USA","PO Box 196613","Anchorage","AK","99519 - 6613","ECKHARDT, WILLIAM","9075634567",4686876626.00,3088180711.00,8.82,11.18,5.91,65.89,23.33,438967.00,1625.00
"13865","ALPS","P.O. Box 1889","Sitka","AK","99835","O'BRIEN, JOHN","9077476261",41090954.00,26689916.00,13.43,2.97,-9.54,64.95,28.84,3016.00,14.00
"14573","CITY OF FAIRBANKS","502 Ninth Avenue","Fairbanks","AK","99701","MOWREY, VICKI","9074523371",2310608.00,1208209.00,16.94,-.37,-7.94,52.29,43.56,435.00,1.00
"66157","CREDIT UNION 1","1941 Abbott Rd","Anchorage","AK","99507","ELLIS, LESLIE","9073399485",787831590.00,493834707.00,10.18,4.62,9.04,62.68,28.54,66136.00,292.00
"5912","DENALI ALASKAN","440 E 36th Ave","Anchorage","AK","99503","TEACHWORTH, ROBERT","9072577200",460601334.00,374095143.00,8.63,.36,2.15,81.22,10.38,55083.00,296.00
"8080","MAC","541 10th Ave","Fairbanks","AK","99701","RADWAY, RAELYNN","9073561253",86093365.00,64763032.00,12.42,-1.07,-8.69,75.22,16.64,14111.00,39.00
"5924","MATANUSKA VALLEY","1020 S Bailey St","Palmer","AK","99645-6924","STRAWN, ALFRED","9077454891",359728246.00,162467525.00,9.60,3.97,1.76,45.16,48.57,34275.00,128.00
"18204","NORTHERN SKIES","400 West Benson Blvd","Anchorage","AK","99503","HOWLETT, D. KYLER","9075611407",59257439.00,47800398.00,8.49,10.23,14.03,80.67,14.04,6110.00,26.00
"13583","SPIRIT OF ALASKA","1417 Gillam Way","Fairbanks","AK","99701","LOMBARDINO, MICHAEL","9074595900",125644640.00,81850385.00,9.07,2.69,5.77,65.14,21.31,10388.00,57.00
"15523","TONGASS","2000 Tongass Avenue","Ketchikan","AK","99901","FISHER, SUSAN","9072259063",58594094.00,33408503.00,9.25,12.12,15.72,57.02,34.40,6402.00,35.00
"5892","TRUE NORTH","PO Box 34157","Juneau","AK","99803","MACVAY, LAUREN","9075234778",112723435.00,77865014.00,6.78,.19,10.40,69.08,17.18,10856.00,55.00
"4915","A. E. A.","1780 S FIRST AVE","YUMA","AZ","85364","MARTIN, TOM","9287838881",230576672.00,186493594.00,2.67,-19.80,-23.37,80.88,10.45,41950.00,99.00
"12164","AERO","18301 N 79th Ave, Bldg A-100","Glendale","AZ","85308","SANDERS, PRESTON","6233344701",193331227.00,72496423.00,16.92,1.43,-8.31,37.50,61.13,18586.00,44.00
"60165","ALHAMBRA","7339 N 35th Ave","Phoenix","AZ","85051","MCCONNELL, DEBRA","6022465120",20013087.00,12756399.00,7.05,7.34,3.68,63.74,28.31,3655.00,13.00
"68372","ALTIER","1511 N Project Dr","Tempe","AZ","85281","MATEER, HARRY","6027973000",163350791.00,97448269.00,6.95,-1.25,-.70,59.66,30.47,17460.00,59.00
"68567","AMERICAN SOUTHWEST","PO Box 370","Sierra Vista","AZ","85636 - 0370","BARKDULL, BRIAN","5204591860",156587880.00,88306745.00,8.94,6.58,-2.42,56.39,38.47,20252.00,55.00
"9552","APC EMPLOYEES","PO Box 85429","Tucson","AZ","85754","DOLL, MICHAEL","5208825096",1264900.00,685324.00,18.01,-19.62,-6.26,54.18,45.72,232.00,.00
